"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",102.2144,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",102.0893,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",101.9771,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",101.8977,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",101.8604,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",101.8124,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",101.6762,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",101.3975,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",101.0814,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",100.8799,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",100.9165,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",101.0959,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",101.2962,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.4176,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.4106,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",101.1867,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",100.6589,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",99.99754,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",99.40793,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",99.04163,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",98.83562,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",98.71557,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",98.63873,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",98.55087,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",98.39788,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",98.14838,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",97.8815,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",97.71011,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",97.72156,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",97.82279,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-12",97.89208,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-01",97.84081,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-02",97.70737,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-03",97.54525,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-04",97.39346,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-05",97.27544,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-06",97.2205,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-07",97.25121,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-08",97.30797,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-09",97.31612,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-10",97.22706,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-11",97.10793,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-12",97.0676,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-01",97.21264,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-02",97.52462,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-03",98.00861,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-04",98.6748,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-05",99.34809,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-06",99.78479,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-07",99.78225,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-08",99.52509,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-09",99.22883,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-10",99.0383,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-11",98.96503,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-12",99.01258,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-01",99.18448,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-02",99.37152,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-03",99.44081,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-04",99.30966,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-05",99.1373,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-06",99.16242,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-07",99.58195,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-08",100.2323,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-09",100.9204,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-10",101.5229,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-11",102.0493,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1979-12",102.5282,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-01",102.9701,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-02",103.3783,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-03",103.7307,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-04",103.9957,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-05",104.2039,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-06",104.3792,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-07",104.5254,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-08",104.6479,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-09",104.7366,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-10",104.7752,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-11",104.782,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1980-12",104.7718,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-01",104.7489,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-02",104.7174,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-03",104.6716,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-04",104.5945,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-05",104.4716,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-06",104.2693,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-07",103.9607,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-08",103.6295,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-09",103.3877,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-10",103.3147,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-11",103.3082,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1981-12",103.2222,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-01",102.9385,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-02",102.5185,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-03",102.0298,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-04",101.5097,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-05",100.9969,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-06",100.5304,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-07",100.1393,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-08",99.78816,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-09",99.44176,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-10",99.0898,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-11",98.7672,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1982-12",98.54731,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-01",98.50555,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-02",98.58054,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-03",98.71376,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-04",98.87232,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-05",99.0137,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-06",99.09023,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-07",99.07082,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1983-08",99.02759,
