"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",97.46449,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",97.51181,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",97.63669,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",97.80425,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",97.98584,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.1916,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.45102,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",98.79619,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.19053,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.59901,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",99.9697,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.2461,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.3614,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.3014,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.1465,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",99.98193,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",99.85777,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",99.76373,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",99.80254,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.0455,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.5819,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.4664,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",102.5051,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",103.4238,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",103.9995,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",104.0744,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",103.7314,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",103.1821,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",102.5767,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",102.0303,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",101.5918,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",101.2716,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",101.0613,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",100.9162,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.7933,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.7065,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.6878,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.72,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.7521,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.6796,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-04",100.4276,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-05",100.0006,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-06",99.40553,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-07",98.66547,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-08",97.88773,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-09",97.23612,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-10",96.81518,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-11",96.64494,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-12",96.64588,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-01",96.74681,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-02",96.90934,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-03",97.11779,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-04",97.35973,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-05",97.56793,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-06",97.72293,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-07",97.8992,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-08",98.12756,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-09",98.37134,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-10",98.62186,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-11",98.84971,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-12",99.04649,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.24007,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-02",99.48463,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-03",99.79304,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-04",100.1344,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-05",100.4628,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-06",100.7725,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-07",101.1221,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-08",101.4873,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-09",101.8271,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-10",102.0859,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-11",102.2092,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-12",102.2193,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-01",102.1395,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-02",102.0074,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-03",101.893,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-04",101.8562,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-05",101.8966,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-06",102.0158,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-07",102.137,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-08",102.1955,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-09",102.1209,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-10",101.851,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-11",101.415,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-12",100.8825,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-01",100.3672,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-02",99.90825,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-03",99.4752,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-04",99.075,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-05",98.78515,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-06",98.63528,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-07",98.60421,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-08",98.69035,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-09",98.89141,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-10",99.19142,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-11",99.5554,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-12",99.95334,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-01",100.3296,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-02",100.6237,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-03",100.7597,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-04",100.6293,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-05",100.1398,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-06",99.31845,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-07",98.28035,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-08",97.19972,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-09",96.31441,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-10",95.7325,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-11",95.49762,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-12",95.58916,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-01",95.94079,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-02",96.43328,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-03",97.03196,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-04",97.7197,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-05",98.44034,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-06",99.12558,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-07",99.72028,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-08",100.2319,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-09",100.6514,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-10",100.938,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-11",101.0606,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-12",101.0116,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-01",100.8513,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-02",100.6151,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-03",100.3425,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-04",100.1341,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-05",100.1052,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-06",100.2274,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-07",100.5032,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-08",100.8416,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-09",101.1166,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-10",101.2551,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-11",101.2033,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-12",100.9565,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-01",100.5683,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-02",100.1248,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-03",99.67494,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-04",99.23315,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-05",98.76301,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-06",98.30283,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-07",97.88984,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-08",97.54159,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-09",97.23679,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-10",97.00114,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-11",96.88167,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-12",96.93181,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-01",97.10506,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-02",97.32028,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-03",97.50372,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-04",97.60692,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-05",97.6153,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-06",97.56364,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-07",97.45927,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-08",97.33397,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-09",97.24291,
