"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.4453,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.425,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.2599,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.9832,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.82,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.8579,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.0612,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.2305,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.4059,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.546,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.3526,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.7361,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.85706,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.44059,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.5365,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.93584,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.2263,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.3,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.2189,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.13,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.0579,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.98109,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.9126,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.82223,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.70565,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.67478,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.62037,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.54551,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.46877,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.34769,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.15553,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.00235,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.87321,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.78132,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",98.89719,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.33788,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.0511,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.5258,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.5924,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.402,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.2083,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.1042,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.0642,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.0484,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.0422,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.0727,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.2146,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.56,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-01",101.0747,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-02",101.4081,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-03",101.4341,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-04",101.2218,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-05",101.0094,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.8111,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.63,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-08",100.5024,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-09",100.3821,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-10",100.262,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-11",100.2973,
