Symbol,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,index,sector,sector_risk_trend_factor,index,Sector
ACC,49.209999084472656,65.0199966430664,65.0199966430664,10.634157990553193,1.2299995422363281,2.147764042629916,VNQ,MDYG,-3.1219821557705014,SP400,Real Estate
MTOR,32.93000030517578,36.279998779296875,36.279998779296875,6.1087025027781,0.45999908447265625,1.6327157196502913,VCR,SLY,-4.922557664121128,SP600,Consumer Cyclical
PSB,165.85000610351562,189.22999572753906,189.8300018310547,3.8274863585460417,3.4199981689453125,2.3860937081700095,VNQ,MDYG,-3.1219821557705014,SP400,Real Estate
TVTY,27.8700008392334,32.88999938964844,32.88999938964844,2.9829039904274084,1.1700019836425781,1.7605749791133567,VHT,SLY,-3.4557028891925015,SP600,Healthcare
BANF,77.37999725341797,86.81999969482422,86.81999969482422,2.1792569207709347,16.68000030517578,1.214986931922099,VFH,SLY,-5.109939700201536,SP600,Financial Services
CEIX,18.93000030517578,50.38999938964844,55.2599983215332,1.8353699150092133,18.24700164794922,1.6506660998802771,VDE,SLY,0.398770805657576,SP600,Energy
Y,737.8900146484375,862.8699951171875,862.8699951171875,1.6478038180971597,15.72998046875,1.641831134116482,VFH,MDYG,-5.109939700201536,SP400,Financial Services
SAFM,186.72000122070312,200.0,200.0,1.6274453174526389,31.699996948242188,1.4430234314640693,VDC,MDYG,-2.069744979067942,SP400,Consumer Defensive
SJI,29.239999771118164,35.31999969482422,35.31999969482422,1.5666644868420336,2.1000022888183594,0.855182010654555,VPU,SLY,-2.1994881217580775,SP600,Utilities
TWI,11.819999694824219,15.770000457763672,18.889999389648438,1.4594182352759908,6.529999732971191,1.3829259913888186,VIS,SLY,-4.796058856279677,SP600,Industrials
PBF,18.780000686645508,30.1299991607666,32.40999984741211,1.3968427511922228,18.369998931884766,0.9011644151587372,VDE,SLY,0.398770805657576,SP600,Energy
LNTH,26.079999923706055,64.13999938964844,69.73899841308594,1.3443921245286858,19.079998016357422,1.8931630805889088,VHT,SLY,-3.4557028891925015,SP600,Healthcare
MCK,204.66000366210938,335.6000061035156,339.94000244140625,1.1621818773674242,41.25,1.0510284925121094,VHT,SPY,-3.4557028891925015,SP500,Healthcare
GO,36.77000045776367,36.77000045776367,38.279998779296875,1.1303591822731056,11.430000305175781,1.2719095857272045,VDC,MDYG,-2.069744979067942,SP400,Consumer Defensive
AZPN,162.55999755859375,169.22000122070312,196.5800018310547,1.0522131548696236,61.670013427734375,0.6386763580918148,VGT,MDYG,-4.675845515129833,SP400,Technology
ROG,206.1300048828125,274.510009765625,274.510009765625,1.0463276077754866,21.3699951171875,0.9734028702616627,VGT,SLY,-4.675845515129833,SP600,Technology
XOM,64.80000305175781,91.51000213623047,94.7699966430664,0.9987177789360859,23.389999389648438,1.1993732874672092,VDE,SPY,0.398770805657576,SP500,Energy
FCN,147.3800048828125,170.30999755859375,170.64999389648438,0.9973402636361202,18.800003051757812,0.7237392416942819,VIS,MDYG,-4.796058856279677,SP400,Industrials
HRB,26.229999542236328,28.329999923706055,34.959999084472656,0.8945372415546654,13.180002212524414,0.9216894193767091,VCR,MDYG,-4.922557664121128,SP400,Consumer Cyclical
GCP,27.780000686645508,32.279998779296875,32.279998779296875,0.8379926604409702,0.8950004577636719,1.8031957780019647,VAW,SLY,-3.0005761103878554,SP600,Basic Materials
UFCS,32.93000030517578,32.93000030517578,32.93000030517578,0.7608703314017975,5.520000457763672,1.2932268088904182,VFH,SLY,-5.109939700201536,SP600,Financial Services
PLAB,14.5600004196167,20.299999237060547,20.299999237060547,0.7070359046787784,8.670001029968262,2.267676966618101,VGT,SLY,-4.675845515129833,SP600,Technology
BMY,67.95999908447266,78.16999816894531,78.47000122070312,0.6971020469992714,6.900001525878906,1.2552060352223118,VHT,SPY,-3.4557028891925015,SP500,Healthcare
LLY,235.85000610351562,314.0,314.0,0.6477348640076347,43.489990234375,0.9735278502317424,VHT,SPY,-3.4557028891925015,SP500,Healthcare
WRB,54.95333480834961,71.52999877929688,71.52999877929688,0.6338868694126847,7.220001220703125,1.1261824611471711,VFH,SPY,-5.109939700201536,SP500,Financial Services
UTHR,212.6199951171875,218.3800048828125,218.3800048828125,0.5910246068627646,62.839996337890625,1.5801722616016156,VHT,MDYG,-3.4557028891925015,SP400,Healthcare
MPC,64.83999633789062,93.16000366210938,98.94999694824219,0.568914132699265,30.110000610351562,1.3153704227590874,VDE,SPY,0.398770805657576,SP500,Energy
DINO,39.38999938964844,41.45000076293945,48.290000915527344,0.5391983420022443,22.959999084472656,1.1469500029170734,VDE,MDYG,0.398770805657576,SP400,Energy
COP,62.349998474121094,107.5199966430664,109.43000030517578,0.5250636701077082,35.31000518798828,1.0077669014107171,VDE,SPY,0.398770805657576,SP500,Energy
NOC,379.0299987792969,490.82000732421875,490.82000732421875,0.5074522461361485,60.379974365234375,1.0133788633240757,VIS,SPY,-4.796058856279677,SP500,Industrials
CVBF,24.3700008392334,24.3700008392334,24.520000457763672,0.4871775643648611,2.3400001525878906,1.6185372129694593,VFH,SLY,-5.109939700201536,SP600,Financial Services
DVN,31.989999771118164,65.44999694824219,73.18000030517578,0.46548847226204787,23.76000213623047,1.14879336860344,VDE,SPY,0.398770805657576,SP500,Energy
VLO,84.94999694824219,111.5199966430664,131.69000244140625,0.46478580625610333,45.720001220703125,1.482523482315956,VDE,SPY,0.398770805657576,SP500,Energy
OXY,32.52000045776367,63.560001373291016,69.16999816894531,0.40134402596118274,20.830001831054688,1.2271163726872394,VDE,SPY,0.398770805657576,SP500,Energy
APA,24.299999237060547,45.220001220703125,45.27000045776367,0.39545128128509255,15.830001831054688,1.0288408055755793,VDE,SPY,0.398770805657576,SP500,Energy
SM,25.25,43.689998626708984,43.689998626708984,0.3803062475386023,22.85000228881836,0.6442917296371499,VDE,SLY,0.398770805657576,SP600,Energy
MRO,14.15999984741211,27.969999313354492,29.0,0.3598789295315576,9.920001983642578,1.0654230975687475,VDE,SPY,0.398770805657576,SP500,Energy
PPC,26.280000686645508,29.700000762939453,31.209999084472656,0.3557689045307785,8.319999694824219,1.2296679617643609,VDC,MDYG,-2.069744979067942,SP400,Consumer Defensive
VIVO,27.450000762939453,28.719999313354492,28.719999313354492,0.3447714017331943,6.119998931884766,0.6577347892054132,VHT,SLY,-3.4557028891925015,SP600,Healthcare
