,SYMBOL,exp_return,discounted_return,qtr_return,sell_date,stop_loss_price,days_delta,disc_rtn,qtr_rtn,outer_cv_avg_abs_err_n11,outer_cv_std_n11,mean_revert_flag,yhat_upper,yhat_lower,200tdSDev,50tdMA-TP,50tdBOLU,200td_lower,200td_upper,50tdBOLD,200tdSMA,20td_tot_daily_vol,20td_trend_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,20td_tvf_vel,50td_tot_daily_vol,50td_trend_vol,50td_trend_vol_factor,50td_tvf_rng_div_4,50td_tvf_vel,Adj Close,Date,Index Symbol,MIN_Lookback_1_Months,MIN_Lookback_2_Months,MIN_Lookback_One_Year,Market Index,Sector,Sector Symbol,adf_50td,beta,buy_volume_pct,currentRatio,daily_buy_vol,daily_sell_vol,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,hurst_50td,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,net_daily_vol,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,risk_per_share,risk_trend_factor,sector_20td_tvf_vel,sector_50td_tvf_vel,sector_risk_trend_factor,sell_volume_pct,sharesOutstanding,shortName,shortRatio,tau_50td,tau_50td_p,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingEPS,trailingPE,volume_factor,outer_cv_avg_abs_err_n11_ratio,outer_cv_std_n11_ratio
EIX,EIX,0.13954500550489213,0.001556317721160605,1.1538104825851074,2022-10-21,62.35384803080056,84,0.001556317721160605,1.1538104825851074,101.48973942943375,110.6103092986502,False,84.88108857518951,65.56075879235613,3.7722666261867306,64.16686686197916,70.75414589672226,57.31849678073811,72.40756328548503,57.57958782723606,64.86303003311157,28383700.0,7058074.586417576,0.2486664735893339,0.13810600418245877,1.8005478839341997,28383700.0,7058074.586417576,0.2486664735893339,0.06905300209122939,3.6010957678683995,65.48999786376953,2022-07-28,SPY,73.31999969482422,73.31999969482422,65.73999786376953,SP500,Utilities,VPU,0.21352051209476508,0.67816,0.8440348992255116,0.61,1391391.531373256,-257108.4686267442,175.694,2.8,0.041300002,-0.247,-0.242,5534000128,0.33325002,1656633600,error,13.973195,-2327124992,0.54866004,8708000000,0.89583,,Utilities—Regulated Electric,1656633600,0.7,740707200,2:1,25849645056,1134283.0627465118,2623000064,0.20661,1.7695,2.91,1.8733932,1.5566449,0.03053,0.299,0.02933,0.02898,0.209,43.585,11.889999389648438,-1.338099619749417,1.0290792231597972,2.0581584463195943,-0.9313322031385586,-0.15596510077448844,381200000,Edison International,3.04,-0.3472223381039331,0.0003775289099035233,,122000000,0.32,31054000128,16606000128,2.763,0.04218965,error,44.006493,0.6990102240428008,1.5496983163833642,1.6889649245177665
BRO,BRO,0.13707301080961087,0.001530424981347256,1.151069450115793,2022-10-21,63.19410625813789,84,0.001530424981347256,1.151069450115793,44.89540995742144,95.47042705526721,False,81.71136823632742,66.19461279176105,4.7964798238848205,58.246133193969726,63.20657845863606,54.51885431707411,73.7047736126134,53.28568792930339,64.11181396484375,24029800.0,6891635.3518425245,0.2867953687439148,0.12901899725015858,2.222892557348273,24029800.0,6891635.3518425245,0.2867953687439148,0.06450949862507929,4.445785114696546,64.37999725341797,2022-07-28,SPY,74.0,74.0,56.220001220703125,SP500,Financial Services,VFH,0.8836305819596771,0.785866,0.9685837314458274,1.767,1234944.2575934299,-40055.742406570054,86.952,0.41,0.0066000004,0.1,0.103,1042446976,0.33201,1660003200,error,24.903101,419696512,0.46925998,1413388000,0.75277,,Insurance Brokers,1651795200,0.103,1522281600,2:1,18136039424,1194888.5151868598,908068992,0.28261,0.1822,2.06,4.1955075,5.7761784,0.19354999,1.259,0.05495,0.14883,0.11,11.122,11.53000259399414,-0.9609719833212077,0.9227572161466506,1.8455144322933013,-5.307452568303899,-0.031416268554172594,282272992,"Brown & Brown, Inc.",3.24,0.4791836734693878,9.099676988602529e-07,,1712099968,6.065,3769700096,3139799040,0.39,0.006182625,error,30.023363,0.895226928590571,0.6973502931461825,1.4829206450486239
CCRN,CCRN,0.13632212423997733,0.0015225488568011425,1.1502369536577868,2022-10-21,21.49448936426039,84,0.0015225488568011425,1.1502369536577868,41.933944194032755,47.82010541941795,False,41.87834961379533,23.573091550659093,3.420489038843973,20.820200004577636,28.613792801884003,15.093221861086164,28.775178016462057,13.026607207271269,21.93419993877411,15209100.0,3804358.810860324,0.2501370107935594,0.09803480170145851,2.5515123859309847,15209100.0,3804358.810860324,0.2501370107935594,0.049017400850729254,5.1030247718619695,27.40999984741211,2022-07-28,SLY,30.399999618530273,30.399999618530273,18.899999618530273,SP600,Healthcare,VHT,0.9119568925000702,0.929757,0.7559056537182077,2.444,368277.2344915108,-118922.7655084892,65.704,,,2.075,2.187,225902000,0.105749995,,error,9.089655,-133688496,0.22392,374999000,0.95594,,Medical Care Facilities,,,,,1047440960,249354.46898302156,-89729000,0.10092,0,1.49,2.771819,0.49034217,0.081709996,2.415,0.19832,0.65893996,1.396,57.889,13.680000305175781,0.18494156653551322,1.3643423211150998,2.7286846422301996,-5.692914724977609,-0.2440943462817923,38213900,"Cross Country Healthcare, Inc.",4.85,0.8693877551020408,5.169334945258407e-19,,1208000,0.032,233955008,2136142976,0,0,error,5.923596,2.2067806379067054,1.5298775785287686,1.7446226080126317
ECPG,ECPG,0.13356708076782528,0.004487516359084953,1.509725623625581,2022-08-26,65.97123813987128,28,0.004487516359084953,1.509725623625581,88.29432344820633,91.91464616050305,False,98.02778090292257,64.37385181573451,4.5370990759300405,60.82746668497722,68.63204840397805,51.89755191680447,70.04594822052462,53.02288496597639,60.97175006866455,8641700.0,2148901.2516386183,0.2486664952079589,0.06848949547761349,3.63072458738199,8641700.0,2148901.2516386183,0.2486664952079589,0.034244747738806744,7.26144917476398,70.41999816894531,2022-07-28,SLY,72.66999816894531,72.66999816894531,49.7400016784668,SP600,Financial Services,VFH,0.9841518795082507,1.249467,0.7929277944536708,13.365,317250.4105609137,-82849.58943908633,237.148,,,1.155,0.857,780368000,0.45976,,error,7.167002,544964608,1,1614499000,1.22812,,Mortgage Finance,,,,,1729229824,234400.82112182735,288464000,0.43007,0,0.4,1.3924125,1.0187857,0.25445998,13.251,0.097229995,0.3423,0.199,59.677,16.639999389648438,0.9723555939878168,0.9227572161466506,1.8455144322933013,-5.307452568303899,-0.2070722055463292,24259500,Encore Capital Group Inc,8.07,0.49387755102040815,4.1763469731856317e-07,,173336992,7.145,2955751936,1697344000,0,0,error,4.9198895,1.2060725266823369,1.25382456324947,1.3052349978764515
FHN,FHN,0.12869344126562432,0.0014422380393350753,1.141782124853692,2022-10-21,19.754866215172456,84,0.0014422380393350753,1.141782124853692,19.317720587735188,18.56024319923488,False,32.13101924394268,20.028058897303328,2.8595730909572725,22.109200007120766,23.114910600073205,14.245945690300726,25.684238054129818,21.103489414168326,19.96509187221527,54523100.0,7803593.288202651,0.14312453415529658,0.07613784139419075,1.8798081418449153,54523100.0,7803593.288202651,0.14312453415529658,0.038068920697095374,3.7596162836898306,22.5,2022-07-28,MDYG,24.239999771118164,24.239999771118164,19.450000762939453,SP400,Financial Services,VFH,0.2629015819276444,1.117071,0.6666666666666666,,1752000.0,-876000.0,,0.6,0.0269,-0.453,-0.435,,0,1654732800,error,11.968085,,0,3407000000,0.82327,,Banks—Regional,1654732800,0.15,1252454400,10159:10000,12034709504,876000.0,,0.44459,0.35709998,1.51,1.6655563,3.843727,0.26413,,0.00969,0.09793,-0.193,5.822,2.5500011444091797,-0.16862749497918747,0.9227572161466506,1.8455144322933013,-5.307452568303899,-0.3333333333333333,534876000,First Horizon Corporation,7.94,-0.19141144318492168,0.050262970340652066,,12711999488,23.716,3552000000,3131000064,0.6,0.026690394,error,13.392858,0.466846838531056,0.8585653594548972,0.8248996977437724
OPCH,OPCH,0.12106110121609523,0.001485201152829907,1.14629744884702,2022-10-14,29.234795001368617,77,0.001485201152829907,1.14629744884702,17.407100840405608,17.023685992835944,False,50.317156959492316,29.03563381325716,2.304233798344129,29.195000038146972,32.78211526757624,22.44338240750791,31.660317600884426,25.607884808717706,27.05185000419617,19364500.0,6125033.019610075,0.31630215185571925,0.11815629863858694,2.6769808761800764,19364500.0,6125033.019610075,0.31630215185571925,0.05907814931929347,5.353961752360153,33.93000030517578,2022-07-28,MDYG,31.079999923706055,31.079999923706055,22.690000534057617,SP400,Healthcare,VHT,0.9729635914906744,1.599322,0.7843148499052558,1.58,1190119.353246235,-327280.6467537648,90.068,,,0.062,0.066,291324000,0.0784,,error,34.63917,176019376,0.22418,779606000,0.81082,,Medical Care Facilities,,,1580688000,1:4,6110529024,862838.7064924702,253488992,0.060549997,0,4.29,4.7544928,1.6445007,0.047140002,1.114,0.0493,0.1496,0.14,20.633,8.71999740600586,1.9426611895996972,1.3643423211150998,2.7286846422301996,-5.692914724977609,-0.21568515009474418,181860992,"Option Care Health, Inc.",3.55,0.3292484758962001,0.0007482151476002473,,208899008,1.149,1157366016,3715735040,0,0,error,34.285713,0.90678145600987,0.5130297873221733,0.501729615081645
FDS,FDS,0.12019132557872853,0.001352097750656256,1.1323656874281829,2022-10-21,404.0004423108952,84,0.001352097750656256,1.1323656874281829,2809.647155643952,2642.8480888269564,False,538.1643697922739,415.662227090422,32.679506040216644,382.39690185546874,418.2340619114821,353.12251974940074,483.8405439102673,346.55974179945537,418.481531829834,4204700.0,1337506.9489147277,0.318098068569631,0.12315447451835665,2.582919295573116,4204700.0,1337506.9489147277,0.318098068569631,0.061577237259178325,5.165838591146232,421.1499938964844,2022-07-28,SPY,495.3999938964844,495.3999938964844,365.7699890136719,SP500,error,error,0.815799612394869,error,0.8749986530027263,error,158724.75565469454,-22675.244345305444,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,error,error,error,error,error,error,136049.51130938908,error,error,error,error,error,error,error,error,error,error,error,error,77.0,-1.2093505859375,error,error,error,-0.12500134699727367,error,error,error,0.5732952703335296,4.296977455829666e-09,error,error,error,error,error,error,error,error,error,0.8835251831762427,6.671369337202324,6.27531313576737
NVEE,NVEE,0.11159056087925964,0.0012602211189991497,1.1228469155244598,2022-10-21,120.56184213574231,84,0.0012602211189991497,1.1228469155244598,565.2510183881757,576.709140267468,False,187.22136311700714,120.84296311612874,10.826957140454965,118.28626001993814,130.6245273296715,96.9048359479719,140.21266450979175,105.94799271020477,118.55875022888183,1000700.0,290092.0476245269,0.2898891252368611,0.13916908244263093,2.082999471929125,1000700.0,290092.0476245269,0.2898891252368611,0.06958454122131547,4.16599894385825,136.07000732421875,2022-07-28,SLY,141.47999572753906,141.47999572753906,109.3949966430664,SP600,error,error,0.9654560393350144,error,0.9589266300745101,error,52549.179328083155,-2250.8206719168456,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,error,error,error,error,error,error,50298.35865616631,error,error,error,error,error,error,error,error,error,error,error,error,31.035003662109375,0.5108758499638627,error,error,error,-0.041073369925489885,error,error,error,0.33061224489795915,0.0007046399453623929,error,error,error,error,error,error,error,error,error,0.6139266210704232,4.15411911488571,4.238326664400944
NSP,NSP,0.10411274583203868,0.001179767610942406,1.1145766484730297,2022-10-21,91.08825450808317,84,0.001179767610942406,1.1145766484730297,493.95046455119586,398.71612786238603,False,150.06709723207211,97.61745054476684,9.77613128335275,98.2969332377116,106.60999096683932,85.07068772015973,124.17521285357074,89.98387550858388,104.62295028686523,2603300.0,866802.1958513127,0.33296285324446384,0.11360140999201727,2.9309746531126772,2603300.0,866802.1958513127,0.33296285324446384,0.05680070499600864,5.8619493062253545,108.77999877929688,2022-07-28,MDYG,129.32000732421875,129.32000732421875,99.83000183105469,SP400,error,error,0.8090762453474438,error,0.7915311227139772,error,82160.93053771082,-21639.069462289164,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,error,error,error,error,error,error,60521.861075421664,error,error,error,error,error,error,error,error,error,error,error,error,21.68000030517578,-1.4820119782900092,error,error,error,-0.20846887728602279,error,error,error,0.485095997974525,6.733400503435134e-07,error,error,error,error,error,error,error,error,error,0.5814184405541333,4.540820648043664,3.665344110467761
EXTR,EXTR,0.10408613938528936,0.001179480393107113,1.1145472319432415,2022-10-21,10.919193736931735,84,0.001179480393107113,1.1145472319432415,13.858787225469941,12.47291679876867,False,21.875890985625453,8.976880951235882,1.7982601423177085,9.729799995422363,11.306532732132421,7.958029747980245,15.15107031725108,8.153067258712305,11.554550032615662,21406600.0,10297018.818890585,0.4810207514920905,0.26737986977332134,1.7990163279677303,21406600.0,10297018.818890585,0.4810207514920905,0.13368993488666067,3.5980326559354605,12.970000267028809,2022-07-28,SLY,16.610000610351562,16.610000610351562,12.0600004196167,SP600,Technology,VGT,0.9922640377694784,1.93742,0.9731543838942944,0.978,2087805.4152068193,-57594.58479318065,388.664,,,-0.511,-0.476,113106000,0.10168,,error,10.139535,92594496,0.56633,629938000,0.89338994,,Communication Equipment,,,967161600,2:1,1711334912,2030210.8304136386,128177000,0.06558,0,0.66,18.712446,1.538526,0.0398,0.757,0.043870002,0.61143,0,8.594,4.520000457763672,-1.4092920783430711,1.3915033326901634,2.7830066653803267,-5.325873217832434,-0.026845616105705534,130836000,"Extreme Networks, Inc.",4.87,0.23177847552675246,0.017877834699662205,,194522000,1.505,351131008,1112321024,0,0,error,30.418604,0.9265205206703372,1.068526363927727,0.9616743671529614
