,SYMBOL,exp_return,discounted_return,qtr_return,sell_date,stop_loss_price,days_delta,disc_rtn,qtr_rtn,outer_cv_avg_abs_err_n11,outer_cv_std_n11,mean_revert_flag,yhat_upper,yhat_lower,50tdBOLU,200tdSDev,50tdMA-TP,200td_upper,50tdBOLD,200tdSMA,200td_lower,20td_tot_daily_vol,20td_trend_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,20td_tvf_vel,50td_tot_daily_vol,50td_trend_vol,50td_trend_vol_factor,50td_tvf_rng_div_4,50td_tvf_vel,Adj Close,Date,Index Symbol,MIN_Lookback_1_Months,MIN_Lookback_2_Months,MIN_Lookback_One_Year,Market Index,Sector,Sector Symbol,adf_50td,beta,buy_volume_pct,currentRatio,daily_buy_vol,daily_sell_vol,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,hurst_50td,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,net_daily_vol,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,risk_per_share,risk_trend_factor,sector_20td_tvf_vel,sector_50td_tvf_vel,sector_risk_trend_factor,sell_volume_pct,sharesOutstanding,shortName,shortRatio,tau_50td,tau_50td_p,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingEPS,trailingPE,volume_factor,outer_cv_avg_abs_err_n11_ratio,outer_cv_std_n11_ratio
RRC,RRC,0.400245526433319,0.004381618057721415,1.4951526341237615,2022-10-28,31.821204085473386,77,0.004381618057721415,1.4951526341237615,14.736638886451983,25.279358355992503,False,66.3480377910025,36.1783118977429,37.009781193747266,5.3424904053058615,29.89059996287028,36.40513079497146,22.771418731993293,25.72014998435974,15.035169173748017,78843100.0,18620519.127055615,0.2361718289495925,0.09569750539276095,2.467899533851984,78843100.0,18620519.127055615,0.2361718289495925,0.047848752696380475,4.935799067703968,33.9900016784668,2022-08-11,MDYG,37.439998626708984,37.439998626708984,17.469999313354492,SP400,Energy,VDE,0.5896398128191949,2.063856,0.534885233879219,0.33,3404170.0939775137,-2960129.906022486,120.605,,,,,1237682048,0.25801,1576108800,error,9.345205,722894144,0.63105,1937478000,0.89251,,Oil & Gas E&P,error,,1133740800,3:2,8861607936,444040.1879550279,1240632960,0.18114,0,0.22,6.934336,1.8473301,0.11196999,0.3,0.08456001,0.3069,1.141,19.669,11.219999313354492,0.8573983117073645,0.6991662699498066,1.3983325398996131,-1.7814892424201072,-0.4651147661207809,259795008,Range Resources Corporation,2.13,0.0334967432053206,0.7316111228423532,,356000,0.001,2384583936,4796981248,0.02,0.0005884083,error,error,0.7117921359825699,0.43355805115443335,0.7437292470628908
CHS,CHS,0.2920533765390323,0.0030550466676788623,1.3239713702216351,2022-11-04,5.347759629244759,84,0.0030550466676788623,1.3239713702216351,5.997663635065169,7.331128217579032,False,14.775174845704464,4.742422712051179,6.049073106147063,0.5801776835598096,5.314666655858358,6.288655359204123,4.580260205569653,5.128299992084504,3.9679446249648844,46918000.0,10308215.217703952,0.2197070467134991,0.09714669510213025,2.2616008345165137,46918000.0,10308215.217703952,0.2197070467134991,0.04857334755106513,4.5232016690330274,6.429999828338623,2022-08-11,SLY,7.190000057220459,7.190000057220459,7.190000057220459,SP600,Consumer Cyclical,VCR,0.656441115871665,1.226108,0.7619038968942012,1.099,1260112.8550733195,-393787.1449266806,239.47,,,,,169038000,0.08612,1584057600,error,7.9810123,90307376,0.38401002,663998000,0.83584,,Apparel Retail,1584057600,0.09,1109116800,2:1,789026624,866325.7101466389,66828000,0.060890004,0,0.81,3.121287,0.40197372,0.045890003,0.259,0.062480003,0.43828,0.394,16.68,1.7199997901916504,-1.3255819562579478,0.7744716661982294,1.5489433323964588,-6.179643406236043,-0.2380961031057988,125143000,"Chico's FAS, Inc.",4.13,0.31065834671166376,0.0015167222978709355,,104131000,0.832,605326976,1962881024,0,0,error,8.188312,1.0789376955181522,0.9327626431080075,1.1401443877601536
DVAX,DVAX,0.24557594800647478,0.0026176824465700133,1.27190036195333,2022-11-04,14.248384787615418,84,0.0026176824465700133,1.27190036195333,18.583756255667808,17.98367920716038,False,38.95649854241149,11.538654515008636,17.04404883662962,2.622931736401818,13.47053336461385,18.213863458021684,9.89701789259808,12.967999985218048,7.722136512414412,38586400.0,11175261.409591483,0.2896165853666443,0.15224355382175983,1.9023241253663514,38586400.0,11175261.409591483,0.2896165853666443,0.07612177691087992,3.804648250732703,16.690000534057617,2022-08-11,SLY,21.389999389648438,21.389999389648438,12.949999809265137,SP600,Healthcare,VHT,0.8863968167369748,1.330353,0.1910114526720044,2.017,405268.9991341917,-1716431.0008658082,89.737,,,28.514,35.879,148604992,0.31691998,,error,16.019608,222006752,0.52679,235030000,0.82561,,Drug Manufacturers—Specialty & Generic,error,,1415577600,1:10,1960015744,-1311162.0017316164,247052992,0.30802,0,,28.97163,4.180038,0.23178,1.525,0.12043,0.56130004,0.368,3.927,7.689999580383301,-0.7360204545169875,0.7681507103776002,1.5363014207552004,-5.465067267166896,-0.8089885473279956,119952000,Dynavax Technologies Corporatio,10.68,0.6261224489795918,1.40043043581425e-10,,503216000,3.984,257980992,468899008,,,error,error,0.5497742212649196,1.1134664865795416,1.0775122008212572
OKE,OKE,0.15470403086437076,0.0018698506803649373,1.1875182569572686,2022-10-28,57.63257050797842,77,0.0018698506803649373,1.1875182569572686,356.13654521716217,462.11387469592796,False,98.36050222580256,57.07694514389168,67.5277079486447,4.622807474001986,59.03386665344238,71.78730302783795,50.54002535824005,62.54168807983398,53.29607313183001,49308900.0,15886072.641208705,0.3221745494466253,0.1629958298556026,1.9765815464851988,49308900.0,15886072.641208705,0.3221745494466253,0.0814979149278013,3.9531630929703976,64.95999908447266,2022-08-11,SPY,75.06999969482422,75.06999969482422,57.54999923706055,SP500,Energy,VDE,0.957996430247572,1.666124,0.8163250053717065,0.828,2640729.7598769334,-594170.2401230666,226.955,3.74,0.0581,0.201,0.211,3265833984,0.15262,1659052800,error,14.861432,917960768,0.20497,4283654000,0.68425006,,Oil & Gas Midstream,1659052800,0.935,1391385600,11422:10000,28755570688,2046559.5197538668,2717872896,0.12368,1.0625,,4.7025723,1.3438442,0.073699996,0.53,0.068969995,0.26228002,0.769,47.871,13.22000503540039,-0.9689861190664094,0.6991662699498066,1.3983325398996131,-1.7814892424201072,-0.18367499462829348,446862016,"ONEOK, Inc.",2.57,0.02857142857142857,0.7696979437812898,,159996992,0.358,13877478400,21397995520,3.74,0.057573892,error,18.28125,0.8114134070177638,5.482397632950232,7.1138220629437585
CNP,CNP,0.11350439319516777,0.0012807260145237809,1.1249644169482285,2022-11-04,30.15628896061378,84,0.0012807260145237809,1.1249644169482285,13.670085308944259,16.325564769420485,False,40.67848569192215,31.296605488659445,32.822091376021135,2.046614854344036,30.023933334350588,32.89478078366976,27.225775292680044,28.80155107498169,24.708321366293617,68456400.0,15048431.88480147,0.21982505484953152,0.0772341484072907,2.846215817520176,68456400.0,15048431.88480147,0.21982505484953152,0.03861707420364535,5.692431635040352,31.90999984741211,2022-08-11,SPY,33.0,33.0,26.920000076293945,SP500,Utilities,VPU,0.6342839464863462,0.872305,0.6979160250895559,1.029,5109443.219680638,-2211556.780319361,149.965,0.72,0.0222,-0.254,-0.243,2563000064,0.29225,1660694400,error,21.81208,-1359750016,0.38278,3207000000,0.92197996,,Utilities—Regulated Electric,1652832000,0.17,1033430400,1000:843,20458846208,2897886.439361277,2076000000,0.16521999,0.50380003,-58.22,2.2158587,2.3328216,0.18164,0.545,0.024920002,0.09623,0.116,14.072,5.380001068115234,0.5223046297510875,0.46803970155963065,0.9360794031192613,-1.0683039927748268,-0.3020839749104441,629502976,"CenterPoint Energy, Inc (Holdin",3.55,0.350102981551908,0.00034256272763772755,,1251000064,1.987,15031000064,8769999872,0.67,0.020996554,error,24.436089,0.6881592781377927,0.4283950289662223,0.5116128125191602
EXTR,EXTR,0.09730802907259127,0.0011060866691725568,1.1070554439629747,2022-11-04,10.556643395345699,84,0.0011060866691725568,1.1070554439629747,13.745884364892419,10.568723832896195,False,23.0563534261179,9.355070986006627,13.815525808003475,1.8097935797499467,10.487799981435142,15.342137170181045,7.160074154866809,11.722550010681152,8.102962851181259,22845100.0,6025263.421931713,0.26374423495330346,0.1386877406291643,1.9017126802759474,22845100.0,6025263.421931713,0.26374423495330346,0.06934387031458215,3.803425360551895,13.510000228881836,2022-08-11,SLY,16.610000610351562,16.610000610351562,12.289999961853027,SP600,Technology,VGT,0.9686518041132574,2.104107,0.06250130384896213,0.978,60045.00260769792,-900654.997392302,388.664,,,-0.511,-0.476,113106000,0.10168,,error,10.55814,92594496,0.56633,629938000,0.9145,,Communication Equipment,,,967161600,2:1,1760562048,-840609.9947846041,128177000,0.06558,0,0.7,19.484978,1.5827823,0.0398,0.757,0.043870002,0.61143,0,8.594,5.550000190734863,-0.8972973558134696,1.4189015637006328,2.8378031274012656,-4.808556819962308,-0.9374986961510379,129263000,"Extreme Networks, Inc.",6.05,0.5650048437988721,7.423112479774435e-09,,194522000,1.505,351131008,1112321024,0,0,error,40.058823,0.9812977053539064,1.017459965360053,0.7822889455103231
FHN,FHN,0.09600820618813367,0.0010919609449322465,1.1056192634549031,2022-11-04,20.142529666205853,84,0.0010919609449322465,1.1056192634549031,20.615748753820128,18.12916052315359,False,31.895165298586125,20.08270868444971,23.250860156768187,2.8222070034927635,22.170333290100096,25.914560066975458,21.089806423432005,20.27014605998993,14.625732053004402,51366200.0,15393591.554410238,0.29968328500862895,0.15441721682085693,1.940737510871593,51366200.0,15393591.554410238,0.29968328500862895,0.07720860841042847,3.881475021743186,23.139999389648438,2022-08-11,MDYG,24.239999771118164,24.239999771118164,19.450000762939453,SP400,Financial Services,VFH,0.6454621792209958,1.117071,1.0,,2926400.0,0.0,,0.6,0.026800001,-0.453,-0.435,,0.0,1662595200,error,15.357616,,0.0,3407000000,0.82771003,,Banks—Regional,error,,1291766400,1:1,12539993088,2926400.0,,0.44459,0.35709998,1.48,1.6282827,4.005108,0.26413,,0.00969,0.09793,-0.193,5.822,2.6599998474121094,0.5601496049780368,0.6377706686037307,1.2755413372074613,-4.08847067534876,0.0,540750016,First Horizon Corporation,7.94,0.28629916715693415,0.003409169706065535,,12711999488,23.716,3552000000,3131000064,0.6,0.025929129,error,13.22121,0.4602002853531321,0.8909139713738489,0.7834555316048789
EIX,EIX,0.08664656308931616,0.0010797566258895497,1.1043799187235555,2022-10-28,64.07457512949048,77,0.0010797566258895497,1.1043799187235555,112.50793152040386,131.94725394241092,False,85.11793989569,65.69601993462025,71.10179549701522,3.4103483267084265,64.31720016479493,72.22555711179086,57.53260483257463,65.40486045837402,58.584163804957164,33584200.0,7610855.881423059,0.22662013331933048,0.1034128286806757,2.1914121894789442,33584200.0,7610855.881423059,0.22662013331933048,0.05170641434033785,4.3828243789578885,69.0,2022-08-11,SPY,73.31999969482422,73.31999969482422,65.73999786376953,SP500,Utilities,VPU,0.609550141080867,0.687271,0.8312519371528027,0.61,1470152.1760484467,-298447.8239515533,175.694,2.8,0.040599998,-0.247,-0.242,5534000128,0.33325002,1656633600,error,14.587629,-2327124992,0.54866004,8708000000,0.88218004,,Utilities—Regulated Electric,1656633600,0.7,740707200,2:1,26986313728,1171704.3520968934,2623000064,0.20661,2.0771,,1.9557706,1.6250942,0.03053,0.299,0.02933,0.02898,0.209,43.585,11.010002136230469,-0.4886463405591978,0.46803970155963065,0.9360794031192613,-1.0683039927748268,-0.1687480628471974,381432000,Edison International,3.32,0.08578434235508936,0.3797421302557288,,122000000,0.32,31054000128,16606000128,2.763,0.040043477,error,53.195488,0.8535659911283658,1.630549732179766,1.9122790426436367
ED,ED,0.08391379528899337,0.0010470201486743047,1.101062322276952,2022-10-28,94.6795002827689,77,0.0010470201486743047,1.101062322276952,63.381549438817274,63.22612312543586,False,115.18296637900899,99.18240525312027,101.12694779718936,7.556717745305403,94.28773345947266,103.15765637684127,87.44851912175596,88.04422088623046,72.93078539561965,32659800.0,5123291.07133241,0.15686841534033918,0.08032312124589569,1.952967127112914,32659800.0,5123291.07133241,0.15686841534033918,0.040161560622947845,3.905934254225828,98.4800033569336,2022-08-11,SPY,101.12000274658203,101.12000274658203,80.43000030517578,SP500,Utilities,VPU,0.5610898908503688,0.244814,0.08148202569130869,0.882,97762.13442443217,-1102037.8655755678,127.2,3.16,0.0321,0.507,0.545,5132000256,0.35386002,1660608000,error,20.477272,-614249984,0.53354,7668000000,0.6779,,Utilities—Regulated Electric,1652745600,0.79,615427200,2:1,35142623232,-1004275.7311511356,3296999936,0.20906,0.6864,4.23,1.7209585,2.423128,0.11163,0.647,0.02961,0.07194,0.149,41.027,13.670005798339844,0.9341623157183878,0.46803970155963065,0.9360794031192613,-1.0683039927748268,-0.9185179743086913,354582016,"Consolidated Edison, Inc.",4.33,0.21104338607568288,0.030884219194591892,,1132999936,3.195,26229999616,14503000064,3.13,0.031783104,error,21.73465,0.7168300837983845,0.6435981648893275,0.6420199123702036
GMS,GMS,0.07527228841762856,0.0034618795136966973,1.374297775938452,2022-09-02,47.5124789613171,21,0.0034618795136966973,1.374297775938452,133.35379857029642,82.38689485918302,False,73.07486841510537,45.50618094915337,55.66060414905612,4.79626332193524,47.69783330281576,61.09652665912927,39.7350624565754,51.50400001525879,41.91147337138831,4613100.0,1144792.8750786562,0.24816129610861595,0.13563793163064883,1.8295862604597641,4613100.0,1144792.8750786562,0.24816129610861595,0.06781896581532441,3.6591725209195283,53.63999938964844,2022-08-11,SLY,61.790000915527344,61.790000915527344,53.849998474121094,SP600,error,error,0.6285347953708944,error,0.34136514190992406,error,53935.692421768,-104064.307578232,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,error,error,error,error,error,error,-50128.615156463995,error,error,error,error,error,error,error,error,error,error,error,error,18.360000610351562,-0.8992375592254586,error,error,error,-0.6586348580900759,error,error,error,0.44,6.523887144708415e-06,error,error,error,error,error,error,error,error,error,0.81940933737167,2.486088741381144,1.535922740429453
