,SYMBOL,exp_return,discounted_return,qtr_return,sell_date,stop_loss_price,days_delta,disc_rtn,qtr_rtn,outer_cv_avg_abs_err_n11,outer_cv_std_n11,mean_revert_flag,yhat_upper,yhat_lower,200tdSMA,50tdBOLD,50tdBOLU,200td_lower,200tdSDev,200td_upper,50tdMA-TP,20td_tot_daily_vol,20td_trend_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,20td_tvf_vel,50td_tot_daily_vol,50td_trend_vol,50td_trend_vol_factor,50td_tvf_rng_div_4,50td_tvf_vel,Adj Close,Date,Index Symbol,MIN_Lookback_1_Months,MIN_Lookback_2_Months,MIN_Lookback_One_Year,Market Index,Sector,Sector Symbol,adf_50td,beta,buy_volume_pct,currentRatio,daily_buy_vol,daily_sell_vol,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,hurst_50td,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,net_daily_vol,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,risk_per_share,risk_trend_factor,sector_20td_tvf_vel,sector_50td_tvf_vel,sector_risk_trend_factor,sell_volume_pct,sharesOutstanding,shortName,shortRatio,tau_50td,tau_50td_p,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingEPS,trailingPE,volume_factor,outer_cv_avg_abs_err_n11_ratio,outer_cv_std_n11_ratio
RRC,RRC,0.4142418321843434,0.004134638174267291,1.4617034354514085,2022-10-20,34.06850680783975,84,0.004134638174267291,1.4617034354514085,13.900826103648495,24.285321696165102,False,64.37326934191627,34.51422102991199,25.282799968719484,22.260101038081082,36.916832148767874,15.007520512052254,5.137639728333615,35.558079425386715,29.588466593424478,90084300.0,17677455.793799303,0.19623237116566708,0.1174891285476653,1.6702172668346558,90084300.0,17677455.793799303,0.19623237116566708,0.05874456427383265,3.3404345336693115,33.689998626708984,2022-07-27,MDYG,37.439998626708984,36.63999938964844,17.469999313354492,SP400,Energy,VDE,0.4535112426078928,2.124019,0.9343064067472858,0.246,3524297.196891437,-247802.80310856304,162.685,,,,,458860992,0.114250004,1576108800,error,8.843835,838692352,0.57877,1937478000,0.86654997,,Oil & Gas E&P,error,,1133740800,3:2,8386182656,3276494.3937828736,1090109952,0.02264,0,0.28,6.562309,2.088026,-0.017970001,0.238,0.00892,-0.04423,0.637,16.483,14.069997787475586,0.6766169187950598,0.679797778897048,1.359595557794096,-1.178585806567032,-0.06569359325271415,259795008,Range Resources Corporation,3.02,-0.167483716026603,0.08636065793455627,,112931000,0.453,2603130112,4016321024,0.02,0.000593648,error,error,0.8100717575055432,0.41260987445182334,0.7208466217304035
ATEN,ATEN,0.2146013065329926,0.005570195603615602,1.6670173770795986,2022-09-01,15.82233056759593,35,0.005570195603615602,1.6670173770795986,3.5694625609113064,3.597282466750105,False,21.811621475346918,15.006572193419066,14.490978488922119,12.981486299392149,16.039180331670675,12.344166847584763,1.0734058206686778,16.637790130259475,14.510333315531412,14251500.0,5196002.462187826,0.3645933734826387,0.1825651907383444,1.9970585411606765,14251500.0,5196002.462187826,0.3645933734826387,0.0912825953691722,3.994117082321353,14.789999961853027,2022-07-27,SLY,19.049999237060547,19.049999237060547,12.609999656677246,SP600,Technology,VGT,0.22065923427312556,1.036274,0.8095240257764497,2.447,364771.5260148682,-85828.47398513177,11.154,0.2,0.0138,0.366,0.368,42295000,0.16915001,1652400000,error,21.691175,33801500,0.78602,196537000,0.84183997,,Software—Infrastructure,error,,,,1143861120,278943.05202973646,50097000,0.13352999,0.0806,1.02,5.1215277,4.574676,0.37948,2.126,0.06103,0.58417,0.128,3.245,3.3600006103515625,-1.8869038968942011,1.2552541820737706,2.510508364147541,-5.514989083235574,-0.1904759742235503,77549904,"A10 Networks, Inc.",2.86,-0.3831370619552376,9.010347346808717e-05,,185042000,2.422,23299000,250042000,,,error,12.814943,0.8294824397678335,0.24134297296266466,0.24322396727710366
EIX,EIX,0.17692800321336363,0.0019412586726859082,1.1953304466911816,2022-10-20,62.04171496795127,84,0.0019412586726859082,1.1953304466911816,100.66544800023966,106.81203806088264,False,85.31953137191593,65.2887724142502,64.81316162109376,57.582000411574576,70.80759990987723,57.154304998274654,3.8294283114095493,72.47201824391286,64.1948001607259,27745100.0,6845872.311736064,0.24674167012323128,0.1371436024494075,1.7991482337957012,27745100.0,6845872.311736064,0.24674167012323128,0.06857180122470374,3.5982964675914024,63.38999938964844,2022-07-27,SPY,73.31999969482422,73.31999969482422,65.73999786376953,SP500,Utilities,VPU,0.2504552032671246,0.695588,0.8045960379890031,0.638,1704214.8680645076,-413885.1319354924,166.018,2.8,0.0428,-0.011,-0.006,5143000064,0.34505,1648598400,error,14.114224,-4047124992,0.58423,8708000000,0.88474,,Utilities—Regulated Electric,error,,740707200,2:1,24880175104,1290329.7361290152,11000000,0.21240999,1.7695,3.18,1.8285122,1.6692502,0.05092,0.3,0.027460001,0.04499,0.055,39.224,11.889999389648438,-1.867956284657922,0.9773205895320964,1.9546411790641929,-1.575715646355189,-0.19540396201099683,379908000,Edison International,2.42,-0.37500012515224773,0.000123165481530457,,390000000,1.024,29532999680,14904999936,2.65,0.041804705,error,32.63079,0.6980610682735936,1.5880335852579026,1.6849982503442809
EXLS,EXLS,0.15428825123525244,0.0017096016259867675,1.170170022575001,2022-10-20,146.23129477969724,84,0.0017096016259867675,1.170170022575001,175.68470456408875,151.1926313959292,False,195.818838847935,152.07476386532434,134.78220016479492,129.4714346577586,155.86176470340672,115.30819174005734,9.737004212368786,154.2562085895325,142.66659968058266,4729200.0,922557.4224844007,0.19507684650351026,0.10192943369051888,1.913842149813255,4729200.0,922557.4224844007,0.19507684650351026,0.05096471684525944,3.82768429962651,148.5399932861328,2022-07-27,SLY,156.14999389648438,154.97999572753906,110.44000244140625,SP600,error,error,0.2583593330072317,error,0.918602106657677,error,321602.59754085273,-28497.402459147284,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,error,error,error,error,error,error,293105.19508170546,error,error,error,error,error,error,error,error,error,error,error,error,22.589996337890625,1.064629999635248,error,error,error,-0.081397893342323,error,error,error,0.34530612244897957,0.00040265909889356606,error,error,error,error,error,error,error,error,error,1.390504159934557,1.1827434529747625,1.0178580734461635
BRO,BRO,0.15085343575826723,0.0016740637923355894,1.1663568624216842,2022-10-20,63.447168971752006,84,0.0016740637923355894,1.1663568624216842,44.78316318786622,93.37890234488457,False,81.12938124275749,65.30329776495046,64.09021209716796,53.41511631724118,62.82501673939945,54.480237675806165,4.804987210680901,73.70018651852976,58.120066528320315,24414800.0,6700946.10480017,0.2744624614905783,0.1636024916920913,1.6776178568669446,24414800.0,6700946.10480017,0.2744624614905783,0.08180124584604564,3.3552357137338893,63.08000183105469,2022-07-27,SPY,74.0,74.0,56.220001220703125,SP500,Financial Services,VFH,0.9041368723905797,0.785866,0.7883231190325698,1.767,816860.4159415488,-219339.58405845123,86.952,0.41,0.0066000004,0.1,0.103,1042446976,0.33201,1660003200,error,24.903101,419696512,0.46925998,1413388000,0.75277,,Insurance Brokers,1651795200,0.103,1522281600,2:1,18136039424,597520.8318830975,908068992,0.28261,0.1822,2.06,4.1955075,5.7761784,0.19354999,1.259,0.05495,0.14883,0.11,11.122,10.459999084472656,-1.4321220878284888,0.7893453090832622,1.5786906181665243,-5.094686029161568,-0.21167688096743026,282272992,"Brown & Brown, Inc.",3.24,0.4530612244897959,3.4422520279053836e-06,,1712099968,6.065,3769700096,3139799040,0.39,0.006182625,error,30.023363,0.8877650046430555,0.7099423254268072,1.4803249783501677
NVEE,NVEE,0.14821303715378695,0.0016466739609997116,1.1634263606850794,2022-10-20,121.14170518644633,84,0.0016466739609997116,1.1634263606850794,610.6470837458675,650.6079329650973,False,185.79396814246593,120.15721344485794,118.37550018310547,106.26213828696478,129.43638161049614,96.69703263503652,10.839233774034472,140.05396773117442,117.84925994873046,982100.0,237092.17182121967,0.2414134729876995,0.13916908244263093,1.7346774782913175,982100.0,237092.17182121967,0.2414134729876995,0.06958454122131547,3.469354956582635,129.61000061035156,2022-07-27,SLY,141.47999572753906,141.47999572753906,109.3949966430664,SP600,Industrials,VIS,0.2964776910552003,1.019607,0.832914081754058,1.854,37397.8422707572,-7502.157729242797,28.471,,,1.91,2.38,118922000,0.16827999,,error,27.656506,90367000,0.50843,359314000,0.69795996,,Engineering & Construction,error,,1362614400,1:1,2095627776,29895.684541514405,101442000,0.10464,0,1.49,3.4688728,2.965346,0.06671,1.778,0.05015,0.09255,0.17,49.996,24.915008544921875,-0.14148043580776934,1.1828732537949223,2.3657465075898445,-4.049073653497364,-0.16708591824594204,15401100,"NV5 Global, Inc.",6.98,0.31918367346938775,0.0010729705873701787,,47980000,3.106,177862000,706705984,,,error,52.883797,0.6049942969564548,4.7114194959512785,5.019735590627991
FDS,FDS,0.14345694699543957,0.001597179892101508,1.158149334277908,2022-10-20,408.223374421428,84,0.001597179892101508,1.158149334277908,2918.2515820349477,3100.6655240815066,False,530.0794413388388,410.335622198912,418.3889477539062,346.877034389453,415.99816987486986,352.99267922239216,32.698134265757034,483.7852162854203,381.43760213216143,4339300.0,1481713.0846023618,0.34146361961661137,0.150179320987347,2.2737059761069274,4339300.0,1481713.0846023618,0.34146361961661137,0.0750896604936735,4.547411952213855,408.80999755859375,2022-07-27,SPY,495.3999938964844,495.3999938964844,365.7699890136719,SP500,error,error,0.677184313224658,error,0.6534810279390035,error,140629.11721247356,-74570.88278752644,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,error,error,error,error,error,error,66058.23442494712,error,error,error,error,error,error,error,error,error,error,error,error,67.44998168945312,-1.9294294953264433,error,error,error,-0.34651897206099647,error,error,error,0.5487954724560283,1.8943686854942306e-08,error,error,error,error,error,error,error,error,error,0.9250118731960592,7.138405614986659,7.584612760447708
KBR,KBR,0.1427789799163663,0.0015901080941682633,1.1573972792356253,2022-10-20,49.70693695301536,84,0.0015901080941682633,1.1573972792356253,50.6542324281633,46.292536910842,True,71.3543192221005,48.14803484581252,47.492576332092284,44.347933974912756,51.90124418670833,39.88072619631208,3.805925067890101,55.104426467872486,48.124589080810544,22609100.0,6298248.530212014,0.27857139515557955,0.16079423352028993,1.7324713023395073,22609100.0,6298248.530212014,0.27857139515557955,0.08039711676014497,3.4649426046790146,51.25,2022-07-27,MDYG,56.939998626708984,56.939998626708984,42.709999084472656,SP400,error,error,0.029410759452650148,error,0.47580593061567283,error,345292.3638477938,-380407.63615220616,error,error,error,error,error,error,error,error,error,error,error,error,error,error,,error,error,error,error,error,error,-35115.272304412385,error,error,error,error,error,error,error,error,error,error,error,error,8.580001831054688,-0.3310018335440753,error,error,error,-0.5241940693843271,error,error,error,0.23611118991067453,0.015622679683865551,error,error,error,error,error,error,error,error,error,0.8423339054480391,0.9883752668909912,0.9032690128944781
ECPG,ECPG,0.13611918576617382,0.003652890797910313,1.398574687947111,2022-09-01,66.59987437623553,35,0.003652890797910313,1.398574687947111,81.38586265276612,86.87695582199866,False,97.65604772508672,65.26782568998543,60.87360008239746,53.22918325058665,67.96895019260994,51.785598962550516,4.544000559923471,69.9616012022444,60.5990667215983,8442200.0,1884043.1409492898,0.22316968810846577,0.06848949547761349,3.2584513369851167,8442200.0,1884043.1409492898,0.22316968810846577,0.034244747738806744,6.516902673970233,70.37999725341797,2022-07-27,SLY,72.66999816894531,72.66999816894531,49.7400016784668,SP600,Financial Services,VFH,0.9875819359261397,1.249467,0.3596040229107473,13.365,163152.34519460605,-290547.65480539395,237.148,,,1.155,0.857,780368000,0.45976,,error,7.084507,544964608,1,1614499000,1.22812,,Mortgage Finance,,,,,1709325696,-127395.3096107879,288464000,0.43007,0,0.4,1.3763853,1.0070591,0.25445998,13.251,0.097229995,0.3423,0.199,59.677,16.639999389648438,0.9651438902027383,0.7893453090832622,1.5786906181665243,-5.094686029161568,-0.6403959770892527,24259500,Encore Capital Group Inc,8.07,0.4644897959183673,1.9397308939998152e-06,,173336992,7.145,2955751936,1697344000,0,0,error,4.86326,1.1766587657644532,1.15637774692885,1.2343983974477852
NSP,NSP,0.13270782127942618,0.0014845659761315577,1.1462305647848534,2022-10-20,93.22764552563537,84,0.0014845659761315577,1.1462305647848534,485.9624760339491,410.62075009317044,False,153.66845845007128,95.16688790274736,103.8127445602417,90.1772078998836,105.87131769419196,85.02723706805374,9.39275374609398,122.59825205242966,98.02426279703778,2607000.0,879910.1331726804,0.33751827125917927,0.1971906246070558,1.7116344751772865,2607000.0,879910.1331726804,0.33751827125917927,0.0985953123035279,3.423268950354573,106.41000366210938,2022-07-27,MDYG,129.32000732421875,129.32000732421875,96.95999908447266,SP400,Industrials,VIS,0.6748939216654005,1.580392,0.9370877406609286,1.113,153401.26314619402,-10298.736853805985,1270.631,1.8,0.0184,0.132,0.129,217684000,0.041350003,1646784000,error,22.568464,308412512,0.16231,820102000,0.88804,,Staffing & Employment Services,error,,1513641600,2:1,4188214784,143102.52629238804,317031008,0.03569,0.53099996,1.46,43.166668,0.7956226,0.02508,0.994,0.063319996,2.4542,0.226,136.911,18.860000610351562,-1.9284200195953265,1.1828732537949223,2.3657465075898445,-4.049073653497364,-0.06291225933907138,38501700,"Insperity, Inc.",4.07,0.48836263769152516,5.663271970815938e-07,,609264000,15.904,431519008,5264072192,1.7,0.015975943,error,35.65388,0.586699503727038,4.566887128178826,3.8588547689279413
