,SYMBOL,exp_return,discounted_return,qtr_return,sell_date,stop_loss_price,days_delta,disc_rtn,qtr_rtn,outer_cv_avg_abs_err_n11,outer_cv_std_n11,mean_revert_flag,yhat_upper,yhat_lower,50tdMA-TP,50tdBOLU,200td_upper,200tdSMA,50tdBOLD,200td_lower,200tdSDev,20td_tot_daily_vol,20td_trend_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,20td_tvf_vel,50td_tot_daily_vol,50td_trend_vol,50td_trend_vol_factor,50td_tvf_rng_div_4,50td_tvf_vel,Adj Close,Date,Index Symbol,MIN_Lookback_1_Months,MIN_Lookback_2_Months,MIN_Lookback_One_Year,Market Index,Sector,Sector Symbol,adf_50td,beta,buy_volume_pct,currentRatio,daily_buy_vol,daily_sell_vol,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,hurst_50td,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,net_daily_vol,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,risk_per_share,risk_trend_factor,sector_20td_tvf_vel,sector_50td_tvf_vel,sector_risk_trend_factor,sell_volume_pct,sharesOutstanding,shortName,shortRatio,tau_50td,tau_50td_p,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingEPS,trailingPE,volume_factor,outer_cv_avg_abs_err_n11_ratio,outer_cv_std_n11_ratio
SM,SM,0.9806600967794802,0.008169261259343585,2.11386655089982,2022-11-11,45.60125134543487,84,0.008169261259343585,2.11386655089982,297.00985265774494,418.38401127632073,False,179.8016750024579,39.81494229919062,38.44153326670329,49.29128846040423,46.996635853706444,36.6080500125885,27.59177807300234,26.219464171470555,5.194292920558973,33871300.0,6578298.969076455,0.19421454060152563,0.08659605399858453,2.2427643250892264,33871300.0,6578298.969076455,0.19421454060152563,0.04329802699929226,4.485528650178453,43.689998626708984,2022-08-18,SLY,54.970001220703125,54.970001220703125,26.8700008392334,SP600,Energy,VDE,0.08492385258988949,4.947132,0.9037430973319543,0.625,1137179.9393727982,-121120.06062720186,64.466,0.02,0.0005,,,1955115008,0.59241,1650499200,error,4.002825,650719104,0.87975997,2136878000,0.92617995,,Oil & Gas E&P,1650499200,0.01,1112313600,2:1,5211470848,1016059.8787455964,1642409984,0.36821,0.0027,0.06,2.1205165,1.5791011,0.26747,0.593,0.14616999,0.44166002,0.671,27.115,14.599998474121094,-0.3931512329050595,0.13204679837951788,0.26409359675903576,-1.650408901713833,-0.09625690266804567,122594000,SM Energy Company,2.92,0.04083299646250211,0.6757588436051312,,267088992,2.179,1576124032,3300276992,0.02,0.00045777066,error,5.456996,0.4475873403671601,6.79811998154136,9.576196484944504
MTDR,MTDR,0.5222944688004811,0.005015137671665615,1.5844534885381367,2022-11-11,63.76757992076231,84,0.005015137671665615,1.5844534885381367,191.7236677905179,259.4075923970486,False,160.49624772211132,53.92724830251387,52.68566665649414,65.32120804578273,63.23631154135919,48.68737558364868,40.05012526720556,34.13843962593817,7.274467978855256,24458300.0,7509589.10858898,0.3070364297023497,0.14438818736445974,2.126465019796521,24458300.0,7509589.10858898,0.3070364297023497,0.07219409368222987,4.252930039593042,60.56999969482422,2022-08-18,MDYG,67.77999877929688,67.77999877929688,38.04999923706055,SP400,Energy,VDE,0.33749772776477005,3.710044,0.9255813870963735,1.315,973711.6192253849,-78288.38077461503,48.749,0.4,0.0069999998,2.899,2.925,1856194944,0.73463994,1660608000,error,5.7910595,156971248,0.85464996,1462239000,0.92126,,Oil & Gas E&P,1660608000,0.1,,,7038651392,895423.2384507699,1601016064,0.57768,0.0201,0.52,2.783279,2.7857368,0.41210997,1.131,0.20737,0.49939,1.196,21.483,19.76000213623047,0.40991909985509556,0.13204679837951788,0.26409359675903576,-1.650408901713833,-0.07441861290362645,118118000,Matador Resources Company,6.42,0.13556554825550698,0.16494986225727004,,230394000,1.952,1336712960,2526674944,0.175,0.002889219,error,6.8415613,0.5922951744763486,3.16532390220403,4.282773546376875
CHS,CHS,0.22924361189914194,0.00246015253722609,1.253645969124543,2022-11-11,5.453691258100281,84,0.00246015253722609,1.253645969124543,6.7077857990703444,8.123103053336656,False,14.383968367923126,4.7386225372059885,5.5077333291371655,6.606892114167794,6.443576463577642,5.164999990463257,4.408574544106537,3.8864235173488715,0.6392882365571928,45506900.0,12513567.946818465,0.27498177082636843,0.09714669510213025,2.830582867870907,45506900.0,12513567.946818465,0.27498177082636843,0.04857334755106513,5.661165735741814,7.0,2022-08-18,SLY,7.190000057220459,7.190000057220459,7.190000057220459,SP600,Consumer Cyclical,VCR,0.9477189611680049,1.226108,0.675675884662077,1.099,1503311.275784655,-721588.7242153449,239.47,,,,,169038000,0.08612,1584057600,error,8.860759,90307376,0.38401002,663998000,0.85279,,Apparel Retail,1584057600,0.09,1109116800,2:1,876001024,781722.5515693101,66828000,0.060890004,0,0.91,3.4653466,0.4462833,0.045890003,0.259,0.062480003,0.43828,0.394,16.68,2.3999996185302734,-0.23750010927519946,0.6872487051117974,1.3744974102235947,-5.387602436999556,-0.324324115337923,125143000,"Chico's FAS, Inc.",5.34,0.31928088496269796,0.0011020305682932655,,104131000,0.832,605326976,1962881024,0,0,error,9.859156,1.0606028546557287,0.9582551141529063,1.160443293333808
ATEN,ATEN,0.1423053879338463,0.001585165649986564,1.1568719585228582,2022-11-11,16.04283396047392,84,0.001585165649986564,1.1568719585228582,4.053954497885055,4.078396136888205,False,22.556143345740868,15.616669969250836,14.559933293660482,16.162548123464177,16.717146381047115,14.660401782989503,12.957318463856788,12.60365718493189,1.0283722990288067,13352000.0,3698087.482683128,0.27696880487441045,0.0942254417914357,2.9394269701326525,13352000.0,3698087.482683128,0.27696880487441045,0.04711272089571785,5.878853940265305,16.440000534057617,2022-08-18,SLY,19.049999237060547,19.049999237060547,13.930000305175781,SP600,Technology,VGT,0.5803924519374037,0.923546,0.9074088137173698,2.218,605423.1605122292,-61776.83948777089,12.252,0.2,0.0125,0.625,0.574,51159000,0.19184,1660262400,error,19.555555,39350124,0.79863,196537000,0.93187,,Software—Infrastructure,1660262400,0.05,,,1206564480,543646.3210244583,55401000,0.16233999,0.1172,1.12,6.1778474,4.5244584,0.38391,1.917,0.0795,0.64134,0.149,3.47,3.5699996948242188,-0.759102915625728,1.3745111273964494,2.749022254792899,-4.419069907365806,-0.09259118628263023,76172000,"A10 Networks, Inc.",6.5,0.4306198602317414,1.0770554818956813e-05,,166792992,2.19,23862000,266676000,0.15,0.009124088,error,12,0.7582565762009424,0.2465908981868192,0.24807761583944435
ON,ON,0.09334606201849718,0.0010629785586924179,1.1026783541496752,2022-11-11,60.35533914979955,84,0.0010629785586924179,1.1026783541496752,76.79242311680063,49.73120018266355,False,102.64980816617621,64.00210655937924,58.878933334350585,72.97829285975754,70.53019741455003,59.67779991149902,44.77957380894363,48.825402408448014,5.4261987515255035,171281300.0,34478459.65486227,0.20129727912423756,0.09226181087153716,2.1818049875968555,171281300.0,34478459.65486227,0.20129727912423756,0.04613090543576858,4.363609975193711,73.25,2022-08-18,SPY,71.26000213623047,71.26000213623047,46.290000915527344,SP500,Technology,VGT,0.9803152600721324,1.825538,0.7022219057436343,2.793,13129162.082926434,-5567437.917073568,64.577,,,1.43,1.476,2814799872,0.36948,,error,15.205451,748350016,0.46617,2714300000,1.03719,,Semiconductors,,,,,31422607360,7561724.165852865,1974899968,0.29477,0,,5.8313236,4.124676,0.22599001,1.73,0.14482,0.37428,0.249,17.62,30.500003814697266,1.014425932533898,1.3745111273964494,2.749022254792899,-4.419069907365806,-0.29777809425636576,433236000,ON Semiconductor Corporation,3.23,0.5340955937295275,4.479874558355292e-08,,1826400000,4.216,3493700096,7618200064,0,0,error,18.177944,1.234964174229792,1.0483607251440359,0.6789242345756116
FDS,FDS,0.06604150210597864,0.0007616262894412085,1.0725542451158232,2022-11-11,405.6651559342427,84,0.0007616262894412085,1.0725542451158232,3010.0516288621116,2003.1784812443896,False,547.5084144975627,426.8554535266568,400.05926696777345,455.2433007789876,485.1322562677163,419.2632629394531,344.8752331565593,353.39426961118994,32.93449666413159,3491500.0,840885.3592006783,0.24083785169717264,0.10630700548792568,2.265493704688417,3491500.0,840885.3592006783,0.24083785169717264,0.05315350274396284,4.530987409376834,454.2300109863281,2022-08-18,SPY,495.3999938964844,495.3999938964844,376.5799865722656,SP500,Financial Services,VFH,0.9238280443112702,0.777777,0.6625032016174299,2.116,92352.94630546973,-47047.053694530274,186.393,3.56,0.0083,-0.263,-0.256,601891008,0.34267,1653609600,error,32.942436,508569504,0.52935004,805045000,0.92557997,,Financial Data & Stock Exchanges,error,,1107734400,3:2,16871535616,45305.89261093945,571900992,0.29913,0.32810003,1.85,15.342866,9.605262,0.22406,1.92,0.10446999,0.34237,0.223,46.578,96.05999755859375,-0.048823043154766634,0.9019116035982815,1.803823207196563,-3.8469735897772344,-0.33749679838257013,37797200,FactSet Research Systems Inc.,2.03,0.8248265285425426,2.943072679404844e-17,,565993024,14.903,2362946048,1756488960,3.23,0.0071109347,error,42.390312,0.7310238813582803,6.6267123617085515,4.410053129018556
GPRE,GPRE,0.055337106917730895,0.0006413990431171079,1.0607644166332715,2022-11-11,26.932639120132094,84,0.0006413990431171079,1.0607644166332715,130.42600891879093,147.25817951629733,False,59.63023716215808,28.959472603183055,32.80526663462321,40.96306566133104,40.997407460093356,33.128050088882446,24.647467607915374,25.258692717671536,3.934678685605455,19904300.0,4735296.842613768,0.2379032089856849,0.11821202383050523,2.0125127823443347,19904300.0,4735296.842613768,0.2379032089856849,0.05910601191525262,4.0250255646886695,39.040000915527344,2022-08-18,SLY,44.27000045776367,44.27000045776367,38.529998779296875,SP600,Basic Materials,VAW,0.8162714996659555,1.606641,0.8189662826756816,2.002,522500.48834708484,-115499.51165291511,93.124,,,,,45221000,0.0148,1558569600,error,16.170404,-185219008,0.04704,178998000,1.14258,,Specialty Chemicals,1558569600,0.12,,,1940810624,407000.97669416975,-121313000,-0.0152,0,-8.55,2.1793787,0.6352976,-0.03958,1.166,-0.013830001,-0.09988,0.411,60.554,14.620000839233398,-0.6805743075979137,0.6168857601162819,1.2337715202325639,-3.919986777513591,-0.18103371732431836,53821700,"Green Plains, Inc.",7.28,0.4187755102040816,1.777325514253631e-05,,534136992,9.924,970920000,3054962944,0,0,error,error,1.041637375445678,3.3408300681395913,3.7719819688254277
EIX,EIX,0.04605894382695972,0.0006434886029593745,1.0609682261135127,2022-10-28,64.51926172178273,70,0.0006434886029593745,1.0609682261135127,116.79597567934769,147.81779953886826,False,85.03707204572336,65.42153475455413,64.4817333984375,71.84705906237093,72.63529084075684,65.64635232925416,57.116407734504065,58.65741381775147,3.494469255751343,34183100.0,11832592.33068502,0.3461532842452855,0.12061586768433412,2.8698818065232454,34183100.0,11832592.33068502,0.3461532842452855,0.06030793384216706,5.739763613046491,71.79000091552734,2022-08-18,SPY,73.31999969482422,73.31999969482422,65.73999786376953,SP500,Utilities,VPU,0.8720418962938103,0.687271,0.2352927976782629,0.61,331974.6082442611,-1078925.391755739,175.694,2.8,0.038900003,-0.247,-0.242,5534000128,0.33325002,1656633600,error,14.750516,-2327124992,0.54866004,8708000000,0.89755,,Utilities—Regulated Electric,1656633600,0.7,740707200,2:1,27287646208,-746950.7835114779,2623000064,0.20661,2.0771,,1.9776089,1.6432402,0.03053,0.299,0.02933,0.02898,0.209,43.585,12.84000015258789,0.23286646866288624,0.6788861136103806,1.3577722272207613,-0.35108020065745815,-0.7647072023217372,381432000,Edison International,3.32,0.4583334862971917,2.692095946441861e-06,,122000000,0.32,31054000128,16606000128,2.763,0.038487256,error,53.789474,0.8492359458732517,1.6269114666369378,2.059030472959598
MLI,MLI,0.039848842990367304,0.0004652910632663154,1.0437258112906158,2022-11-11,58.8569754544434,84,0.0004652910632663154,1.0437258112906158,39.71400091542668,32.27418709483361,False,85.57438164141914,60.72303847535107,59.14693328857422,72.58767800682143,65.33168117051318,56.77466630935669,45.706188570327,48.2176514482002,4.2785074305782445,6625300.0,1965020.6527606924,0.29659346033548556,0.09167872814582761,3.235139342942377,6625300.0,1965020.6527606924,0.29659346033548556,0.04583936407291381,6.470278685884754,69.19999694824219,2022-08-18,SLY,63.369998931884766,63.06999969482422,48.060001373291016,SP600,Industrials,VIS,0.9515213845681076,1.14274,0.9391866465278601,3.19,186992.06132369695,-12107.93867630305,1.544,1,0.015,0.901,0.898,875238976,0.21354,1661990400,error,9.388966,436627360,0.2592,830356000,0.95124,,Metal Fabrication,1654128000,0.25,1396224000,2:1,3858459392,174884.1226473939,506955008,0.20263,0.0652,0.52,2.5566196,0.94139785,0.16138001,1.944,0.2706,0.52845,0.136,73.168,19.30999755859375,1.7141374950612407,0.8580096453922071,1.7160192907844143,-3.2956523131373467,-0.06081335347213988,56683700,"Mueller Industries, Inc.",8.52,0.6320947852395326,9.504679574914637e-11,,202500992,3.572,23867000,4098649088,0.76,0.011384062,error,5.8429184,1.2669339421799994,0.5739017726421373,0.466390007487615
PEG,PEG,0.03628421635836494,0.0005092931647068255,1.047957512683284,2022-10-28,65.01960328383655,70,0.0005092931647068255,1.047957512683284,35.238285343858024,44.52125076452323,False,77.93499700831624,66.0875854761844,63.26106671651205,68.96906815351134,71.7116602366746,65.19069452285767,57.55306527951276,58.66972880904073,3.2604828569084696,49173900.0,19849180.902329884,0.4036527690976287,0.18074841385616583,2.2332299381550507,49173900.0,19849180.902329884,0.4036527690976287,0.09037420692808291,4.466459876310101,69.38999938964844,2022-08-18,SPY,75.61000061035156,75.61000061035156,65.33000183105469,SP500,Utilities,VPU,0.851691809921155,0.578118,0.7636393901982272,0.893,1715210.4343242382,-530889.5656757619,143.609,2.16,0.032899998,,,2729999872,0.29849002,1662595200,error,20,-851249984,0.24076,3010000000,0.73167,,Utilities—Regulated Electric,error,,1202169600,2:1,35093082112,1184320.8686484764,1180999936,0.15132,,5.63,2.4861186,3.8369868,-0.14192,0.668,0.01766,-0.086899996,-0.199,18.174,10.589996337890625,-0.791313293738275,0.6788861136103806,1.3577722272207613,-0.35108020065745815,-0.23636060980177281,505664000,Public Service Enterprise Group,2.09,0.3544304092945183,0.0002828997919422276,,1603000064,3.211,19527999488,9146000384,2.02,0.029110823,error,error,1.104611207657668,0.5078294517050371,0.6416090381341737
